,E13CBetn07u04r1,E13CBetn07u04r2,E13CBetn07u04r3,E13CBetn07u04r4
2013,86.69,64.103,43.815,141.398
2014,108.333,197.502,172.101,144.707
2015,172.101,192.581,179.944,196.099
2016,171.814,143.613,117.977,141.955
2017,178.108,151.304,151.477,131.995
2018,175.28,130.769,123.184,157.165
2019,184.848,110.286,135.897,202.71
2020,247.764,205.272,203.874,197.286
