,E13CBetn07u05r1,E13CBetn07u05r2,E13CBetn07u05r3,E13CBetn07u05r4
2014,83.061,181.367,123.78,148.291
2015,196.763,99.595,122.161,164.788
2016,203.953,135.003,181.859,192.03
2017,191.307,168.896,207.252,155.799
2018,172.862,187.097,173.188,157.328
2019,199.445,103.988,125.337,130.598
2020,231,114.55,237.589,173.263
