,E13CBetn07u03r1,E13CBetn07u03r2,E13CBetn07u03r3,E13CBetn07u03r4
2009,65.297,103.938,66.554,86.526
2010,128.017,136.108,155.096,177.489
2011,215.53,197.826,183.815,221.31
2012,91.091,94.183,82.041,61.794
2013,0,0,0,0
2014,181.087,91.518,186.425,233.985
2015,143.282,146.177,143.955,147.494
2016,154.259,164.418,192.293,198.995
2017,257.654,223.523,255.937,257.348
2018,228.474,220.692,286.305,285.011
2019,191.799,151.352,199.1,261.056
2020,274.541,156.14,264.616,300.224
