,E13VBetn02s02r1,E13VBetn02s02r2,E13VBetn02s02r3,E13VBetn02s02r4
2005,42.001,37.339,56.235,27.196
2006,65.639,48.23,38.118,53.983
2007,98.246,144.487,99.868,46.314
2008,54.698,50.332,94.351,138.515
2009,211.958,219.77,214.436,223.209
2010,161.836,130.046,184.038,212.411
2011,69.257,67.17,67.109,100.074
2012,26.992,12.314,18.131,51.314
2013,109.632,94.701,123.503,112.134
2014,73.982,94.309,101.533,82.849
2015,28,40.017,42.675,29.291
2016,40.385,53.467,62.07,43.001
2017,77.019,146.961,143.711,113.576
2018,263.714,319.63,279.316,349.175
2019,132.706,142.074,101.541,115.705
2020,61.538,121.093,85.398,98.284
