,E13VBetn03p08r1,E13VBetn03p08r2,E13VBetn03p08r3,E13VBetn03p08r4
2016,55.082,53.6,34.234,50
2017,49.366,48.094,53.46,42
2018,131.973,96.083,120.702,123.016
2019,118.089,116.211,123.628,121.017
2020,51.624,50.04,63.285,76.026
