,E13VBetn03q07r1,E13VBetn03q07r2,E13VBetn03q07r3,E13VBetn03q07r4
2018,159.748,156.309,143.221,128.976
2019,140.268,147.339,122.113,143.09
2020,55.862,64.35,59.927,54.091
