,E13VBetn03q05r1,E13VBetn03q05r2,E13VBetn03q05r3,E13VBetn03q05r4
2017,58.637,70.378,59.784,55.158
2018,116.427,209.061,154.821,95.356
2019,75.606,168.754,128.199,54.341
2020,37.38,80.304,63.116,10.11
