,E13VBetn03q04r1,E13VBetn03q04r2,E13VBetn03q04r3,E13VBetn03q04r4
2017,42.297,60.008,46.271,41.761
2018,144.014,116.726,124.615,107.355
2019,85.475,97.005,94.366,100.439
2020,69.26,73.171,64.498,66.287
