,E13CBetn07w04r1,E13CBetn07w04r2,E13CBetn07w04r3,E13CBetn07w04r4
2004,104.062,108.174,74.502,108.354
2005,154.681,160.224,198.819,158.086
2006,140.499,108.524,104.419,120.745
2007,103.41,96.32,84.146,93.857
2008,129.534,96.997,119.374,143.06
2009,79.34,69.599,57.949,72.627
2010,72.478,55.128,46.428,54.359
2011,81.319,62.033,55.915,69.567
2012,21.224,39.266,4.253,4.348
2013,24.935,20.659,4.253,2.771
2014,25.636,25.212,35.729,41.904
2015,89.236,69.777,95.876,77.748
2016,55.565,40.47,43,46.768
2017,27.52,29.658,45.373,53.055
2018,102.396,83.239,94.354,102.05
2019,70.128,53.914,37.704,50.616
2020,72.899,5.542,61.075,73.985
