,E13VBetn03s04r1,E13VBetn03s04r2,E13VBetn03s04r3,E13VBetn03s04r4
2008,88.649,76.947,86.88,42.176
2009,109.463,148.089,136.917,109.683
2010,117.071,132.706,137.873,129.076
2011,81.635,129.362,141.212,134.958
2012,57.371,89.48,64.473,56.592
2013,112.873,144.487,90.711,96.633
2014,122.987,166.732,138.087,149.58
2015,31.009,45.711,29.854,53.88
2016,87.071,87.579,74.679,77.307
2017,139.539,166.987,110.69,115.785
2018,405.86,394.624,327.2,341.339
2019,186.786,209.333,157.739,214.671
2020,196.389,293.904,285.264,221.83
