,E13VBetn03s02r1,E13VBetn03s02r2,E13VBetn03s02r3,E13VBetn03s02r4
2006,118.518,98.796,70.23,61.926
2007,173.649,172.84,180.23,170.817
2008,102.788,139.063,114.888,140.789
2009,67.935,69.136,80.881,93.827
2010,51.557,51.911,70.229,98.889
2011,46.127,49.383,99.258,103.704
2012,34.919,56.79,76.702,74.238
2013,84.853,86.44,156.513,138.36
2014,113.057,97.084,175.725,164.156
2015,12.346,17.568,36.706,37.037
2016,86.982,55.833,79.512,99.258
2017,140.762,119.441,168.77,206.73
2018,396.696,365.359,507.508,552.56
2019,242.089,248.797,299.835,312.762
2020,244.557,238.487,270.232,296.471
