,E13CBetn07o06r1,E13CBetn07o06r2,E13CBetn07o06r3,E13CBetn07o06r4
2006,45.607,42,35.609,44.045
2007,43.863,62.29,48.826,46.174
2008,58,44.045,46.69,44.944
2009,41.037,62.032,51.108,27.203
2010,28.425,16,14.142,8.944
2011,45.255,54,46.861,14.56
2012,42.802,64.031,22.627,24.739
2013,75.604,84,31.623,10.198
2014,157.544,180.178,100.578,37.947
2015,81.633,92.022,65.146,18
2016,146.328,150.013,78.409,47.074
2017,166.385,174.046,112.641,43.081
2018,310.387,382.633,228.429,184.716
2019,86.764,96.021,34.059,17.088
2020,70.682,36.497,26,12.166
