,E13VBetn02t01r1,E13VBetn02t01r2,E13VBetn02t01r3,E13VBetn02t01r4
2009,60.988,84.753,89.753,114.718
2010,148.875,175.184,184.021,119.491
2011,109.966,97.829,100.819,84.65
2012,116.216,113.992,106.149,79.236
2013,282.623,206.693,213.828,258.149
2014,270.678,200.667,233.817,273.196
2015,82.143,69.278,52.184,73.673
2016,120.058,106.864,130.6,137.533
2017,185.037,184.383,176.336,249.255
2018,515.503,434.75,366.541,564.867
2019,284.476,185.733,89.107,194.241
2020,164.843,70.674,62.647,71.918
