,E13VBetn01s01r1,E13VBetn01s01r2,E13VBetn01s01r3,E13VBetn01s01r4
2001,226.799,177.903,181.118,179.851
2002,152.003,151.727,127.095,109.567
2003,246.48,189.099,116.553,83.809
2004,231.42,185.102,148.846,114.415
2005,171.65,121.219,118.961,116.365
2006,135.36,73.865,71.706,50.435
2007,158.711,208.95,98.841,73.929
2008,53.482,110.207,47.986,72.264
2009,29.406,101.572,42.176,32.722
2010,0,0,0,0
2011,0,48.828,18.606,0
2012,0,75.314,0,0
2013,0,100.759,0,0
2014,0,131.809,0,0
2015,0,79.415,0,0
2016,0,36.539,0,0
2017,0,26.312,0,0
2018,0,122.576,41.904,0
2019,0,47.64,0,0
2020,0,0,0,0
