,E13CBetn01r04r1,E13CBetn01r04r2,E13CBetn01r04r3,E13CBetn01r04r4
2002,0,0,0,0
2003,0,0,0,0
2004,0,0,0,0
2005,47.318,67.531,73.045,54.258
2006,53.289,94.71,75.949,63.49
2007,58.332,138.007,104.393,67.249
2008,135.065,268.723,257.958,162.842
2009,145.912,263.792,266.754,170.012
2010,42.393,114.83,124.362,95.367
2011,56.99,105.971,95.449,95.379
2012,76.405,103.607,105.181,159.183
2013,0,0,0,49.04
2014,70.399,115.729,122.858,126.386
2015,72.403,139.147,129.971,135.664
2016,0,75.502,80.787,69.837
2017,0,27.712,55.424,51.133
2018,0,29.931,60.053,51.844
2019,0,15.984,59.755,30.469
2020,63.312,72.99,109.411,169.961
