,E13CBetn01r05r1,E13CBetn01r05r2,E13CBetn01r05r3,E13CBetn01r05r4
2002,246.501,231.887,221.356,240.475
2003,151.456,153.259,162.831,107.252
2004,38.174,101.595,46.343,0
2005,0,31.935,0,0
2006,59.306,100.53,37.827,26.834
2007,0,0,0,0
2008,94.937,122.975,79.96,136.756
2009,17.943,0,49.085,0
2010,0,0,20.01,0
2011,0,0,52.271,0
2012,57.885,15.584,86.74,54.883
2013,0,0,44.447,0
2014,46.894,0,63.525,20.681
2015,23.376,0,88.661,0
2016,76.281,0,82.574,0
2017,57.885,16.066,107.111,64.502
2018,0,0,133.768,0
2019,15.227,0,33.571,0
2020,46.752,0,90.73,0
