,E13CBetn07q03r1,E13CBetn07q03r2,E13CBetn07q03r3,E13CBetn07q03r4
2002,56.396,37.401,26.723,42.625
2003,48.853,46.524,24.934,57.187
2004,43.478,44.605,28.14,39.558
2005,56.396,43.151,38.042,50.745
2006,30.201,39.191,22.122,13.043
2007,58.494,63.492,50.246,49.297
2008,60.127,70.005,45.796,43.478
2009,29.247,33.958,33.272,20.496
2010,61.526,54.867,40.736,56.818
2011,86.575,97.147,37.942,69.565
2012,51.168,44.605,11.191,72.478
2013,75.087,19.444,10.44,65.217
2014,50.564,42.876,8.711,27.431
2015,52.62,15.372,39.063,11.684
2016,79.516,71.31,14.237,43.695
2017,63.38,62.175,74.239,40.58
2018,91.434,158.696,114.722,52.375
2019,37.148,21.739,9.28,11.684
2020,26.89,30.897,14.274,10.248
