,E13VBetn02o01r1,E13VBetn02o01r2,E13VBetn02o01r3,E13VBetn02o01r4
2017,37.602,49.176,47.599,57.906
2018,83.199,87.944,81.162,88.548
2019,107.833,111.37,173.697,207.283
2020,157.404,121.057,214.655,254.345
