,E13VBetn02o02r1,E13VBetn02o02r2,E13VBetn02o02r3,E13VBetn02o02r4
2015,25.349,24.28,14.205,18.783
2016,24.916,33.677,42.765,31.85
2017,40.46,25.142,27.903,42.188
2018,100.772,69.161,83.916,87.71
2019,41.74,40.094,35.716,49.453
2020,74.1,50.523,70.736,111.136
