,E13DBetn02r05r1,E13DBetn02r05r2,E13DBetn02r05r3,E13DBetn02r05r4
2006,79.301,75.382,89.204,77.427
2007,23.335,38.841,28.056,39.644
2008,62.558,47.832,48.308,46.99
2009,37.827,31.193,53.526,41.247
2010,43.629,39.914,57.783,60.289
2011,114.415,52.904,99.79,117.053
2012,48.269,34.79,49.244,93.705
2013,67.95,0,67.472,79.832
2014,62.323,31.958,28.37,85.722
2015,22.382,0,7.781,44.487
2016,105.641,0,29.217,133.938
2017,146.556,0,90.966,161.453
2018,209.149,41.362,171.268,227.952
2019,104.805,44.536,47.771,129.339
2020,0,0,0,54.018
