,E13DBetn02r03r1,E13DBetn02r03r2,E13DBetn02r03r3,E13DBetn02r03r4
2005,68.294,52.873,57.453,53.873
2006,58.763,48.556,59.882,47.683
2007,42.253,29.745,21.127,20.186
2008,59.376,68.764,71.589,49.668
2009,63.525,66.041,62.789,43.869
2010,78.505,76.256,78.746,33.942
2011,70.122,101.491,45.476,62.789
2012,57.617,85.519,57.701,43.102
2013,30.65,39.13,11.951,29.816
2014,68.508,54.353,39.224,42.918
2015,0,0,0,0
2016,83.384,91.33,40.741,4.583
2017,113.043,102.431,97.837,68.48
2018,194.917,203.3,120.78,71.517
2019,104.456,146.748,75.376,52.469
2020,60.206,47.311,0,0
