,E13VBetn03u04r1,E13VBetn03u04r2,E13VBetn03u04r3,E13VBetn03u04r4
2016,104.551,175.581,113.072,127.979
2017,183.977,142.24,190.528,172.963
2018,450.295,414.41,450.005,380.655
2019,327.593,281.524,259.209,305.767
2020,250.087,207.612,216.206,228.76
