,E13VBetn03u06r1,E13VBetn03u06r2,E13VBetn03u06r3,E13VBetn03u06r4
2017,36.685,33.119,36.393,64.014
2018,262.451,330.521,287.411,240.84
2019,178.519,155.355,200.494,209.504
2020,174.804,180.375,160.649,163.267
