,E13VBetn03u07r1,E13VBetn03u07r2,E13VBetn03u07r3,E13VBetn03u07r4
2018,66.926,23.529,29.994,38.523
2019,163.04,161.845,175.038,166.851
2020,159.017,159.801,151.298,177.665
