,E13VBetn03u03r1,E13VBetn03u03r2,E13VBetn03u03r3,E13VBetn03u03r4
2014,60.299,64.031,40.447,28.844
2015,78.588,73.756,60.828,75.153
2016,158.959,162.69,203.421,201.375
2017,156.371,146.219,166.048,174.951
2018,349.228,393.761,424.005,347.131
2019,189.188,216.601,244.99,223.365
2020,237.394,235.287,248.395,290.303
