,E13DBetn02r01r1,E13DBetn02r01r2,E13DBetn02r01r3,E13DBetn02r01r4
2004,64.905,57.421,45.946,58.674
2005,39.238,37.827,49.28,73.364
2006,69.3,80.725,65.559,69.701
2007,52.48,54.771,30.956,31.958
2008,141.325,101.535,99.687,112.727
2009,91.253,70.974,71.284,100.212
2010,88.93,94.339,113.692,135.587
2011,127.902,125.753,196.489,188.478
2012,92.946,107.591,123.446,131.589
2013,76.363,69.478,112.601,154.783
2014,47.683,72.941,82.992,161.969
2015,12.34,29.166,23.234,56.364
2016,87.107,72.279,86.308,136.08
2017,163.802,188.925,233.586,253.214
2018,202.356,289.828,425.846,458.414
2019,116.453,137.016,235.909,333.886
2020,7.137,72.587,142.341,143.841
