,E13DBetn02o03r1,E13DBetn02o03r2,E13DBetn02o03r3,E13DBetn02o03r4
2006,81.162,38.584,86.649,57.784
2007,59.271,66.474,58.252,56.859
2008,36.174,25.351,46.759,25.159
2009,40.649,26.888,52.442,30.892
2010,39.301,24.302,38.78,33.573
2011,16.145,4.34,13.325,16.85
2012,39.121,38.026,44.938,37.737
2013,74.561,51.323,66.948,54.374
2014,97.376,66.316,70.581,88.784
2015,46.233,45.792,67.813,28.966
2016,0,0,0,0
2017,0,0,36.514,43.378
2018,0,0,0,22.39
2019,0,0,22.342,42.748
2020,0,0,0,0
