,E13DBetn02o02r1,E13DBetn02o02r2,E13DBetn02o02r3,E13DBetn02o02r4
2005,23.257,21.197,36.817,34.633
2006,46.889,28.83,32.455,26.1
2007,55.182,49.39,90.728,65.136
2008,26.054,28.189,37.461,44.96
2009,23.894,10.841,37.114,24.353
2010,19.211,29.475,35.53,36.24
2011,15.299,22.638,37.369,11.627
2012,41.719,37.896,52.648,25.167
2013,45.881,43.396,50.789,35.476
2014,61.588,75.181,94.738,63.25
2015,66.055,74.978,64.37,73.629
2016,0,14.56,11.653,0
2017,64.742,74.368,16.681,0
2018,70.16,95.137,0,0
2019,67.927,91.466,54.641,0
2020,0,64.164,13.687,0
