,E13DBetn03u01r1,E13DBetn03u01r2,E13DBetn03u01r3,E13DBetn03u01r4
2009,106.108,106.341,97.72,59.857
2010,21.8,9.42,37.688,21.027
2011,66.597,66.808,67.329,75.71
2012,287.008,298.131,317.475,285.115
2013,379.798,456.68,440.313,367.308
2014,175.485,161.112,140.602,137.148
2015,137.387,179.992,149.409,140.4
2016,181.535,244.546,202.588,187.435
2017,523.046,574.608,370.856,385.78
2018,427.87,567.18,339.267,343.623
2019,353.261,311.023,256.428,220.386
2020,34.044,98.698,7.804,11.617
