,E13DBetn01s01r1,E13DBetn01s01r2,E13DBetn01s01r3,E13DBetn01s01r4
2001,24.767,29.246,33.625,41.802
2002,61.133,40.005,35.459,66.053
2003,108.308,53.1,61.986,91.519
2004,61.239,34.977,37.067,50.867
2005,98.508,72.321,51.945,66.663
2006,63.549,21.018,11.682,8.677
2007,87.342,88.799,75.926,52.962
2008,138.43,99.134,75.151,56.473
2009,59.208,48.639,20.262,17.593
2010,180.047,119.078,80.946,94.805
2011,174.661,108.616,124.847,188.151
2012,134.862,82.443,70.022,148.265
2013,177.109,96.309,80.304,188.123
2014,237.352,147.712,124.847,280.708
2015,62.569,23.419,35.677,52.789
2016,0,0,0,91.21
2017,54.888,50.05,40.303,70.993
2018,27.652,0,0,0
2019,31.077,0,0,0
2020,62.332,0,0,0
