,E13VBetn02u04r1,E13VBetn02u04r2,E13VBetn02u04r3,E13VBetn02u04r4
2015,113.938,99.905,136.727,87.532
2016,159.783,163.047,160.976,162.481
2017,322.209,307.409,234.059,280.69
2018,556.328,453.141,403.208,486.458
2019,331.609,305.574,203.377,310.057
2020,288.292,327.131,287.171,223.979
