,E13VBetn02u03r1,E13VBetn02u03r2,E13VBetn02u03r3,E13VBetn02u03r4
2013,112.127,58.667,43.98,45.646
2014,133.44,161.702,164.924,154.69
2015,67.515,75.425,74.714,72.197
2016,98.954,117.455,128.996,100.947
2017,165.677,184.019,186.686,184.135
2018,382.46,424.134,453.365,480.015
2019,212.029,282.717,253.333,256.5
2020,168.528,171.415,227.668,200.869
