,E13VBetn02u06r1,E13VBetn02u06r2,E13VBetn02u06r3,E13VBetn02u06r4
2017,48,45.646,41.398,72.443
2018,306.678,355.628,350.593,300.104
2019,234.682,257.123,288.161,265.932
2020,264.013,227.231,238.827,306.678
