,E13VBetn01t06r1,E13VBetn01t06r2,E13VBetn01t06r3,E13VBetn01t06r4
2012,184.179,157.989,309.307,138.009
2013,127.709,92.038,11.685,183.875
2014,149.746,179.664,46.399,140.602
2015,183.32,183.423,116.52,197.022
2016,44.078,33.08,5.842,49.467
2017,59.119,46.036,8.963,55.149
2018,278.988,282.222,240.007,252.211
2019,137.001,216.607,250.461,95.696
2020,52.894,157.545,147.406,86.969
