,E13CBetn07o01r1,E13CBetn07o01r2,E13CBetn07o01r3,E13CBetn07o01r4
2003,54.266,54.919,53.865,51.309
2004,36.311,31.016,0,39.168
2005,59.66,44.731,0,45.99
2006,61.739,60.964,0,68.615
2007,38.357,25.107,0,31.238
2008,136.187,120.396,25.141,108.883
2009,115.962,79.075,0,87.266
2010,152.221,122.673,16.341,129.277
2011,124.509,93.714,0,82.957
2012,92.559,66.351,0,76.125
2013,145.842,116.001,0,103.468
2014,342.568,232.514,0,215.624
2015,168.169,94.256,0,124.921
2016,250.183,115.86,0,198.024
2017,329.803,189.424,0,197.174
2018,619.815,337.611,103.435,393.627
2019,221.484,105.405,0,106.723
2020,177.663,114.009,0,229.644
