,E13VBetn01r01r1,E13VBetn01r01r2,E13VBetn01r01r3,E13VBetn01r01r4
2007,51.891,54.078,64.765,53.824
2008,49.233,39.863,53.361,46.435
2009,45.872,52.58,80,70.258
2010,101.466,109.157,158.084,123.478
2011,43.069,81.355,184.363,104.132
2012,71.525,197.246,304.29,178.909
2013,119.984,341.259,629.487,227.597
2014,5.836,115.116,125.806,54.996
2015,5.276,10.383,50.751,13.445
2016,3.996,62.109,111.909,55.349
2017,8.763,17.827,46.116,10.87
2018,181.808,169.08,231.591,261.379
2019,33.13,71.591,139.028,175.273
2020,4.861,6.234,36.132,36.132
