,E13DBetn03r09r1,E13DBetn03r09r2,E13DBetn03r09r3,E13DBetn03r09r4
2001,68.098,80.199,74.566,76.998
2002,70.014,72.002,75.69,84.153
2003,121.116,112.981,86.096,97.76
2004,143.124,134.576,119.689,129.133
2005,141.622,126.983,100.495,125.34
2006,268.194,239.064,200.437,254.369
2007,139.58,161.167,115.77,121.204
2008,58.947,100.923,79.608,68.444
2009,53.526,39.566,31.088,85.483
2010,106.127,93.787,93.97,83.363
2011,62.45,49.573,61.199,66.969
2012,74.961,33.13,32.263,29.985
2013,62.289,50.247,51.856,58.261
2014,53.526,28.198,0,0
2015,143.914,174.523,145.445,83.438
2016,0,76.744,102.641,0
2017,74.079,0,0,64.213
2018,97.342,94.882,100.665,81.115
2019,72.956,0,71.78,90.42
2020,0,0,0,0
