,E13DBetn03r01r1,E13DBetn03r01r2,E13DBetn03r01r3,E13DBetn03r01r4
2001,182.147,164.657,179.437,184.862
2002,123.803,179.797,171.861,163.096
2003,116.623,90.519,146.45,163.498
2004,99.665,99.182,136.357,238.488
2005,69.169,63.759,132.305,142.95
2006,64.098,38.548,128.171,148.973
2007,0,0,0,0
2008,109.865,19.019,147.873,149.664
2009,0,0,0,0
2010,23.315,0,54.58,17.387
2011,0,0,0,0
2012,28.312,0,15.277,35.09
2013,104.222,0,116.817,106.85
2014,254.877,119.69,188.439,305.51
2015,0,0,46.857,118.425
2016,0,47.813,156.189,164.273
2017,0,98.173,175.938,488.24
2018,0,311.519,180.095,827.276
2019,0,165.247,0,487.786
2020,0,119.774,0,482.374
