,E13ABetn01t01r1,E13ABetn01t01r2,E13ABetn01t01r3,E13ABetn01t01r4
2002,149.38,195.658,58.107,308.459
2003,141.659,61.995,146.728,42.054
2004,198.952,183.242,250.293,92.765
2005,129.534,134.582,138.776,0
2006,169.091,203.09,165.132,70.74
2007,119.905,128.873,112.088,58.727
2008,172.234,158.043,138.556,127.016
2009,59.579,51.673,53.626,0
2010,49.361,39.401,36.132,25.643
2011,62.336,48.146,53.526,44.74
2012,155.404,90.603,100.881,100.826
2013,163.327,133.607,118.105,114.125
2014,80.17,49.214,62.588,37.598
2015,60.541,43.817,45.213,33.927
2016,67.496,45.354,45.688,43.09
2017,15.291,0,0,31.218
2018,0,0,0,0
2019,12.204,5.435,0,0
2020,24.133,23.514,0,11.458
