,E13ABetn01t02r1,E13ABetn01t02r2,E13ABetn01t02r3,E13ABetn01t02r4
1999,149.179,162.873,147.137,141.007
2000,186.304,216.455,216.575,203.635
2001,101.53,118.746,105.182,111.024
2002,186.757,194.501,175.539,208.38
2003,94.54,101.652,84.817,105.633
2004,136.494,168.741,165.243,108.766
2005,145.429,115.494,128.79,110.338
2006,189.742,145.575,147.121,174.198
2007,231.358,167.673,157.758,259.254
2008,108.793,53.305,35.023,138.956
2009,79.793,40.612,0,97.549
2010,70.485,29.006,28.196,91.23
2011,44.018,0,0,0
2012,38.414,0,0,0
2013,104.625,0,27.988,0
2014,41.816,0,0,0
2015,28.531,0,0,0
2016,33.573,0,0,0
2017,32.189,0,0,0
2018,46.435,0,0,0
2019,29.906,0,0,0
2020,17.56,27.736,0,13.749
