,E13CBetn03s04r1,E13CBetn03s04r2,E13CBetn03s04r3,E13CBetn03s04r4
2015,76.966,128.513,141.049,104.375
2016,208.514,233.896,92.628,193.806
2017,282.622,203.6,219.452,238.957
2018,445.66,441.859,431.044,300.995
2019,253.95,216.268,249.786,192.7
2020,258.479,243.319,266.778,181.617
