,E13CBetn03s08r1,E13CBetn03s08r2,E13CBetn03s08r3,E13CBetn03s08r4
2017,77.562,187.913,133.313,223.98
2018,361.439,295.674,342.659,230.682
2019,230.004,182.645,200.353,249.146
2020,181.516,238.254,160.014,186.085
