,E13CBetn03s03r1,E13CBetn03s03r2,E13CBetn03s03r3,E13CBetn03s03r4
2014,96.384,58.203,60.813,60.813
2015,191.614,244.253,173.759,198.552
2016,205.58,254.661,192.653,192.231
2017,171.531,178.918,165.563,163.767
2018,280.004,376.707,354.619,350.021
2019,165.161,177.299,187.793,193.152
2020,232.843,260.689,191.614,199.889
