,E13DBetn02t01r1,E13DBetn02t01r2,E13DBetn02t01r3,E13DBetn02t01r4
2007,81.862,78.936,111.142,102.133
2008,198.991,187.321,162.066,171.168
2009,116.844,88.257,71.059,78.596
2010,81.688,35.053,29.56,63.669
2011,124.469,75.195,81.585,116.466
2012,78.555,62.032,58.852,69.278
2013,166.067,177.41,152.917,160.876
2014,161.412,215.45,201.47,157.893
2015,12.383,41.526,20.496,0
2016,74.536,104.116,108.966,78.345
2017,195.241,261.654,288.3,258.008
2018,359.774,433.392,457.854,449.425
2019,349.573,371.828,374.917,355.262
2020,233.779,168.796,204.014,220.523
