,E13DBetn02q04r1,E13DBetn02q04r2,E13DBetn02q04r3,E13DBetn02q04r4
2008,49.679,44.124,50.469,52.258
2009,25.011,29.006,25.23,30.249
2010,23.982,19.217,13.484,19.619
2011,32.05,24.319,32.089,40.414
2012,27.328,16.008,20.611,19.931
2013,28.374,14.511,22.872,31.54
2014,35.692,28.182,26.15,47.191
2015,59.272,73.364,57.981,58.714
2016,64.639,38.241,42.427,77.54
2017,116.09,79.639,91.33,101.473
2018,186.045,183.696,150.175,143.845
2019,165.611,175.596,131.405,143.132
2020,126.947,159.092,79.349,73.559
