,E13DBetn02q05r1,E13DBetn02q05r2,E13DBetn02q05r3,E13DBetn02q05r4
2011,57.052,59.632,59.76,53.548
2012,57.726,55.476,58.358,86.965
2013,37.576,35.985,42.115,36.132
2014,26.723,37.303,39.566,50.649
2015,128.572,110.48,101.945,106.779
2016,55.943,62.437,52.56,64.436
2017,113.636,103.095,94.086,96.004
2018,206.719,178.717,162.042,147.332
2019,195.643,206.933,188.608,166.592
2020,118.551,166.415,144.528,107.935
