,E13ABetn03o02r1,E13ABetn03o02r2,E13ABetn03o02r3,E13ABetn03o02r4
2006,38.169,48.801,45.855,38.486
2007,51.86,50.707,43.861,45.252
2008,38.464,47.405,30.757,17.053
2009,83.052,76.117,38.617,25.789
2010,110.157,96.824,31.34,21.429
2011,57.703,55.969,26.299,7.46
2012,73.42,76.238,43.568,11.195
2013,94.883,74.573,44.561,34.753
2014,79.549,66.089,36.31,28.419
2015,61.584,2.74,21.78,14.467
2016,25.092,30.016,35.033,53.614
2017,49.429,2.905,0.395,1.428
2018,55.122,3.813,0.362,1.434
2019,27.251,11.012,0.527,1.47
2020,34.792,1.11,0.465,1.218
