,E13VBetn03p05r1,E13VBetn03p05r2,E13VBetn03p05r3,E13VBetn03p05r4
2014,68.656,54.892,60.894,67.089
2015,34.699,27.546,26.645,20.509
2016,54.154,59.702,33.057,38.042
2017,87.633,85.28,52.179,53.999
2018,235.568,202.319,162.374,196.2
2019,184.055,139.267,122.835,154.36
2020,61.338,39.967,41.21,33.365
