,E13ABetn01t01r1,E13ABetn01t01r2,E13ABetn01t01r3,E13ABetn01t01r4
2003,149.38,195.658,58.107,308.459
2004,141.659,61.995,146.728,42.054
2005,198.952,183.242,250.293,92.765
2006,129.534,134.582,138.776,32.681
2007,169.091,203.09,165.132,70.74
2008,119.905,128.873,112.088,58.727
2009,172.234,158.043,138.556,127.016
2010,59.579,51.673,53.626,30.882
2011,49.361,39.401,36.132,25.643
2012,62.336,48.146,53.526,44.74
2013,155.404,90.603,100.881,100.826
2014,163.327,133.607,118.105,114.125
2015,80.17,49.214,62.588,37.598
2016,60.541,43.817,45.213,33.927
2017,67.496,45.354,45.688,43.09
2018,17.631,3.919,14.172,31.218
2019,26.127,33.958,5.435,35.684
2020,29.13,28.942,4.348,16.284
