,E13CBetn01u02r1,E13CBetn01u02r2,E13CBetn01u02r3,E13CBetn01u02r4
2014,54.054,66.217,173.628,108.469
2015,103.073,115.525,79.051,78.431
2016,134.292,120.304,53.055,134.822
2017,136.648,126.211,122.554,116.251
2018,172.81,170.67,95.264,150.77
2019,113.213,85.596,60.746,121.317
2020,38.16,19.261,20.752,22.709
