,E13VBetn03p03r1,E13VBetn03p03r2,E13VBetn03p03r3,E13VBetn03p03r4
2013,22.04,30.067,34.059,20.667
2014,28.135,25.045,27.342,22.361
2015,36.271,45.525,32.673,37.387
2016,17.385,14.509,9.428,11.333
2017,53.852,72.002,42.75,44.045
2018,180.566,184.001,151.545,168.229
2019,134.952,149.344,114.195,124.667
2020,171.747,3.883,182.283,140.102
