,E13VBetn02V04r1,E13VBetn02V04r2,E13VBetn02V04r3,E13VBetn02V04r4
2018,77.112,84.938,69.182,113.702
2019,172.499,173.936,191.525,151.81
2020,185.036,176.064,180.372,147.279
