,E13ABetn02u08r1,E13ABetn02u08r2,E13ABetn02u08r3,E13ABetn02u08r4
2001,192.791,154.773,0,151.068
2002,322.249,272.408,168.569,292.988
2003,143.696,141.005,95.249,160.99
2004,66.095,43.633,48.936,93.581
2005,169.152,154.919,177.583,170.618
2006,122.34,170.582,134.522,148.342
2007,109.703,103.035,52.788,67.156
2008,213.872,214.86,152.958,169.803
2009,96.808,95.3,110.588,153.077
2010,49.224,31.157,29.078,48.167
2011,56.473,28.468,34.817,67.325
2012,40.426,0,0,39.477
2013,107.278,17.747,39.464,83.339
2014,34.469,0,0,36.123
2015,0,53.24,41.141,93.889
2016,0,0,0,0
2017,0,0,0,0
2018,0,10.421,17.294,15.471
2019,0,0,0,0
2020,0,0,0,0
