,E13VBetn02q01r1,E13VBetn02q01r2,E13VBetn02q01r3,E13VBetn02q01r4
2018,113.043,82.135,128.903,112.987
2019,198.589,171.065,193.264,168.131
2020,267.682,210.31,267.47,199.804
