,E13CBetn07s06r1,E13CBetn07s06r2,E13CBetn07s06r3,E13CBetn07s06r4
2015,117.309,116.169,132.047,177.662
2016,181.915,218.154,167.202,147.15
2017,150.035,181.448,145.88,144.203
2018,132.637,150.709,139.198,117.477
2019,92.941,110.915,100.094,96.416
2020,49.564,55.437,59.792,50.415
