,E13CBetn07s04r1,E13CBetn07s04r2,E13CBetn07s04r3,E13CBetn07s04r4
2008,148.724,121.425,194.297,99.763
2009,255.172,186.413,133.7,265.944
2010,139.369,96.54,159.448,132.699
2011,113.588,97.829,97.321,111.003
2012,68.074,60.622,67.954,76.095
2013,51.862,67.95,55.981,37.818
2014,80.076,117.313,88.629,97.475
2015,45.859,47.395,58.759,79.823
2016,51.502,65.186,23.376,73.48
2017,127.811,85.715,44.025,111.774
2018,95.388,110.374,97.923,91.126
2019,63.003,92.358,83.33,62.254
2020,0,23.743,29.428,0
