,E13DBetn03t05r1,E13DBetn03t05r2,E13DBetn03t05r3,E13DBetn03t05r4
2002,286.827,155.08,172.313,116.38
2003,40.551,144.779,155.514,184.337
2004,130.066,204.045,147.792,112.313
2005,150.542,126.707,121.393,163.546
2006,145.071,159.293,166.298,177.866
2007,71.917,123.021,127.735,140.53
2008,98.896,148.879,106.914,154.134
2009,91.989,29.673,69.157,81.853
2010,40.369,0,53.361,17.466
2011,88.496,0,17.054,0
2012,76.861,0,63.971,57.8
2013,68.894,88.854,84.15,101.438
2014,0,158.81,166.002,209.315
2015,0,18.179,0,0
2016,0,80.809,23.621,37.476
2017,0,35.363,74.839,40.774
2018,0,62.441,145.727,68.911
2019,0,75.111,0,32.355
2020,0,91.86,0,24.835
