,E13DBetn03t01r1,E13DBetn03t01r2,E13DBetn03t01r3,E13DBetn03t01r4
2001,154.409,248.102,158.207,136.509
2002,171.959,510.166,203.519,223.189
2003,247.033,384.297,236.566,197.293
2004,248.597,258.074,254.099,200.725
2005,274.955,275.427,249.562,249.881
2006,178.909,345.891,306.589,311.012
2007,278.677,184.936,240.51,149.659
2008,210.881,206.155,207.612,140.24
2009,154.73,148.798,75.195,104.318
2010,0,39.218,43.588,0
2011,0,0,0,0
2012,0,0,0,0
2013,74.907,88.931,135.319,13.844
2014,313.057,178.698,228.765,99.456
2015,0,0,0,0
2016,81.824,17.391,29.211,0
2017,197.384,115.238,128.39,0
2018,231.09,146.057,186.681,0
2019,240.795,132.627,281.443,0
2020,210.903,152.933,257.253,0
