,E13DBetn03t03r1,E13DBetn03t03r2,E13DBetn03t03r3,E13DBetn03t03r4
2001,135.591,181.159,107.959,134.06
2002,235.997,221.642,162.801,208.741
2003,187.758,229.759,180.15,150.142
2004,142.98,138.347,127.475,92.038
2005,124.41,154.776,111.534,99.624
2006,128.3,183.166,148.038,106.815
2007,80.497,146.943,95.318,92.87
2008,94.37,143.771,104.223,102.133
2009,43.191,72.782,70.034,94.261
2010,0,41.773,0,0
2011,0,0,0,0
2012,0,30.262,28.158,0
2013,49.297,81.585,75.385,48.525
2014,88.513,105.12,63.053,100.263
2015,0,0,0,0
2016,15.499,38.238,26.177,0
2017,0,0,0,17.694
2018,63.081,25.681,70.661,77.777
2019,10.457,47.207,54.738,0
2020,0,53.447,37.211,0
